"GameID","LeagueIndex","Age","HoursPerWeek","TotalHours","APM"
52,5,"27","10","3000",143.718
55,5,"23","10","5000",129.2322
56,4,"30","10","200",69.9612
57,3,"19","20","400",107.6016
58,3,"32","10","500",122.8908
60,2,"27","6","70",44.457
61,1,"21","8","240",46.9962
72,7,"17","42","10000",212.6022
77,4,"20","14","2708",117.4884
81,4,"18","24","800",155.9856
83,3,"16","16","6000",153.801
93,4,"26","4","190",79.2948
97,3,"18","12","350",67.4754
98,3,"38","6","1000",119.4366
100,5,"16","30","5000",160.4754
102,5,"17","16","1500",81.7722
105,4,"28","8","2000",50.8374
106,5,"20","10","120",160.6464
118,5,"16","14","350",107.9118
127,4,"26","28","1100",114.7806
132,5,"21","10","800",115.1274
138,6,"21","6","500",133.7016
139,5,"18","20","800",99.5088
140,5,"26","10","500",83.9172
141,4,"17","14","500",216.6936
142,4,"23","20","800",129.8598
144,6,"18","70","2520",267.5586
149,5,"25","6","800",74.1174
154,5,"25","20","700",101.6796
158,6,"18","10","160",150.5004
160,3,"19","6","150",64.6416
161,3,"18","8","250",41.9094
162,5,"16","16","1000",128.0784
163,6,"16","28","500",161.3466
168,4,"22","4","400",90.7686
169,6,"20","14","730",162.0876
171,1,"18","6","230",69.5076
175,3,"16","24","300",81.0702
178,5,"22","8","300",157.332
180,4,"23","4","100",67.6194
181,2,"25","10","200",75.9642
182,5,"25","12","200",164.1114
184,4,"20","14","270",101.7864
187,2,"25","8","100",79.128
193,4,"22","20","1200",120.7014
194,6,"18","20","800",108.5424
196,5,"18","28","800",84.1578
201,3,"23","2","30",66.7818
203,6,"18","28","2000",129.1464
204,3,"18","8","600",62.2194
209,3,"20","6","150",72.141
210,4,"23","20","100",83.9658
212,5,"17","56","540",199.6854
213,4,"29","12","800",66.6738
215,2,"27","24","250",73.9722
219,6,"21","8","730",130.941
220,2,"27","8","280",55.047
223,6,"16","10","1600",181.104
225,4,"22","36","1000",98.6694
226,4,"18","6","50",107.4186
228,4,"18","4","140",119.8716
229,5,"18","24","200",111.8556
230,3,"24","10","200",87.162
234,2,"16","24","50",109.038
235,6,"16","42","700",163.4436
240,6,"20","16","900",127.6602
244,5,"23","12","600",142.5096
