"지역","측정소코드","측정소명","SO2","CO","O3","NO2","PM10","PM25","주소","측정일","측정시간"
"서울",111121,"중구",0.008,1.1,0.004,0.06,50,30,"서울 중구 덕수궁길 15",2016-02-04,"01"
"서울",111121,"중구",0.007,0.9,0.009,0.048,45,34,"서울 중구 덕수궁길 15",2016-02-04,"02"
"서울",111121,"중구",0.007,1,0.006,0.052,49,35,"서울 중구 덕수궁길 15",2016-02-04,"03"
"서울",111121,"중구",0.007,1,0.004,0.055,48,31,"서울 중구 덕수궁길 15",2016-02-04,"04"
"서울",111121,"중구",0.007,1.2,0.002,0.056,44,35,"서울 중구 덕수궁길 15",2016-02-04,"05"
"서울",111121,"중구",0.007,1.2,0.002,0.06,38,25,"서울 중구 덕수궁길 15",2016-02-04,"06"
"서울",111121,"중구",0.007,1.2,0.002,0.064,44,26,"서울 중구 덕수궁길 15",2016-02-04,"07"
"서울",111121,"중구",0.007,1.3,0.002,0.068,44,29,"서울 중구 덕수궁길 15",2016-02-04,"08"
"서울",111121,"중구",0.007,1.2,0.003,0.067,41,22,"서울 중구 덕수궁길 15",2016-02-04,"09"
"서울",111121,"중구",0.008,1.2,0.004,0.064,40,21,"서울 중구 덕수궁길 15",2016-02-04,"10"
"서울",111121,"중구",0.009,1.1,0.01,0.053,48,32,"서울 중구 덕수궁길 15",2016-02-04,"11"
"서울",111121,"중구",0.01,1,0.021,0.039,51,30,"서울 중구 덕수궁길 15",2016-02-04,"12"
"서울",111121,"중구",0.011,0.9,0.035,0.023,50,22,"서울 중구 덕수궁길 15",2016-02-04,"13"
"서울",111121,"중구",0.009,0.7,0.038,0.019,46,26,"서울 중구 덕수궁길 15",2016-02-04,"14"
"서울",111121,"중구",0.009,0.8,0.042,0.018,55,25,"서울 중구 덕수궁길 15",2016-02-04,"15"
"서울",111121,"중구",0.007,0.6,0.039,0.017,45,20,"서울 중구 덕수궁길 15",2016-02-04,"16"
"서울",111121,"중구",0.009,0.8,0.029,0.032,52,12,"서울 중구 덕수궁길 15",2016-02-04,"17"
"서울",111121,"중구",0.008,0.7,0.023,0.037,70,25,"서울 중구 덕수궁길 15",2016-02-04,"18"
"서울",111121,"중구",0.008,0.7,0.015,0.045,56,16,"서울 중구 덕수궁길 15",2016-02-04,"19"
"서울",111121,"중구",0.008,0.7,0.018,0.043,56,18,"서울 중구 덕수궁길 15",2016-02-04,"20"
"서울",111121,"중구",0.009,0.7,0.017,0.043,56,24,"서울 중구 덕수궁길 15",2016-02-04,"21"
"서울",111121,"중구",0.008,0.7,0.015,0.041,60,19,"서울 중구 덕수궁길 15",2016-02-04,"22"
"서울",111121,"중구",0.007,0.7,0.012,0.043,54,18,"서울 중구 덕수궁길 15",2016-02-04,"23"
"서울",111121,"중구",0.007,0.6,0.026,0.023,49,18,"서울 중구 덕수궁길 15",2016-02-04,"24"
"서울",111122,"한강대로",0.007,1.4,0.003,0.073,66,NA,"서울 용산구 한강대로 405",2016-02-04,"01"
"서울",111122,"한강대로",0.006,0.9,0.005,0.058,51,NA,"서울 용산구 한강대로 405",2016-02-04,"02"
"서울",111122,"한강대로",0.006,0.9,0.008,0.053,48,NA,"서울 용산구 한강대로 405",2016-02-04,"03"
"서울",111122,"한강대로",0.005,0.9,0.005,0.052,49,NA,"서울 용산구 한강대로 405",2016-02-04,"04"
"서울",111122,"한강대로",0.005,1,0.003,0.058,44,NA,"서울 용산구 한강대로 405",2016-02-04,"05"
"서울",111122,"한강대로",0.006,0.9,0.003,0.064,46,NA,"서울 용산구 한강대로 405",2016-02-04,"06"
"서울",111122,"한강대로",0.006,0.9,0.003,0.061,42,NA,"서울 용산구 한강대로 405",2016-02-04,"07"
"서울",111122,"한강대로",0.006,1,0.003,0.062,52,NA,"서울 용산구 한강대로 405",2016-02-04,"08"
"서울",111122,"한강대로",0.006,1.1,0.003,0.068,62,NA,"서울 용산구 한강대로 405",2016-02-04,"09"
"서울",111122,"한강대로",0.006,1,0.004,0.065,63,NA,"서울 용산구 한강대로 405",2016-02-04,"10"
"서울",111122,"한강대로",0.007,1,0.007,0.056,62,NA,"서울 용산구 한강대로 405",2016-02-04,"11"
"서울",111122,"한강대로",0.008,0.8,0.018,0.039,66,NA,"서울 용산구 한강대로 405",2016-02-04,"12"
"서울",111122,"한강대로",0.009,0.8,0.022,0.047,81,NA,"서울 용산구 한강대로 405",2016-02-04,"13"
"서울",111122,"한강대로",0.007,0.7,0.027,0.035,57,NA,"서울 용산구 한강대로 405",2016-02-04,"14"
"서울",111122,"한강대로",0.007,0.7,0.027,0.04,89,NA,"서울 용산구 한강대로 405",2016-02-04,"15"
"서울",111122,"한강대로",0.006,0.5,0.029,0.037,80,NA,"서울 용산구 한강대로 405",2016-02-04,"16"
"서울",111122,"한강대로",0.008,0.7,0.019,0.055,88,NA,"서울 용산구 한강대로 405",2016-02-04,"17"
"서울",111122,"한강대로",0.007,0.7,0.014,0.052,99,NA,"서울 용산구 한강대로 405",2016-02-04,"18"
"서울",111122,"한강대로",0.007,0.7,0.013,0.068,83,NA,"서울 용산구 한강대로 405",2016-02-04,"19"
"서울",111122,"한강대로",0.007,0.7,0.013,0.07,76,NA,"서울 용산구 한강대로 405",2016-02-04,"20"
"서울",111122,"한강대로",0.008,0.7,0.01,0.054,75,NA,"서울 용산구 한강대로 405",2016-02-04,"21"
"서울",111122,"한강대로",0.007,0.6,0.012,0.05,66,NA,"서울 용산구 한강대로 405",2016-02-04,"22"
"서울",111122,"한강대로",0.006,0.7,0.005,0.052,67,NA,"서울 용산구 한강대로 405",2016-02-04,"23"
"서울",111122,"한강대로",0.005,0.5,0.012,0.041,55,NA,"서울 용산구 한강대로 405",2016-02-04,"24"
"서울",111123,"종로구",0.006,0.5,0.006,0.047,53,46,"서울 종로구 종로35가길 19",2016-02-04,"01"
"서울",111123,"종로구",0.005,0.5,0.008,0.043,50,40,"서울 종로구 종로35가길 19",2016-02-04,"02"
"서울",111123,"종로구",0.005,0.5,0.011,0.04,49,42,"서울 종로구 종로35가길 19",2016-02-04,"03"
"서울",111123,"종로구",0.005,0.5,0.007,0.042,48,38,"서울 종로구 종로35가길 19",2016-02-04,"04"
"서울",111123,"종로구",0.005,0.7,0.002,0.051,48,37,"서울 종로구 종로35가길 19",2016-02-04,"05"
"서울",111123,"종로구",0.005,0.7,0.002,0.055,50,38,"서울 종로구 종로35가길 19",2016-02-04,"06"
"서울",111123,"종로구",0.005,0.9,0.002,0.065,56,44,"서울 종로구 종로35가길 19",2016-02-04,"07"
"서울",111123,"종로구",0.006,1.1,0.002,0.07,62,53,"서울 종로구 종로35가길 19",2016-02-04,"08"
"서울",111123,"종로구",0.006,1.2,0.003,0.077,66,54,"서울 종로구 종로35가길 19",2016-02-04,"09"
"서울",111123,"종로구",0.007,1,0.004,0.074,69,60,"서울 종로구 종로35가길 19",2016-02-04,"10"
"서울",111123,"종로구",0.007,0.6,0.012,0.044,59,51,"서울 종로구 종로35가길 19",2016-02-04,"11"
"서울",111123,"종로구",0.008,0.6,0.017,0.039,59,47,"서울 종로구 종로35가길 19",2016-02-04,"12"
"서울",111123,"종로구",0.009,0.5,0.03,0.025,65,53,"서울 종로구 종로35가길 19",2016-02-04,"13"
"서울",111123,"종로구",0.007,0.4,0.034,0.02,55,37,"서울 종로구 종로35가길 19",2016-02-04,"14"
"서울",111123,"종로구",0.007,0.4,0.037,0.018,53,35,"서울 종로구 종로35가길 19",2016-02-04,"15"
"서울",111123,"종로구",0.005,0.3,0.035,0.018,56,34,"서울 종로구 종로35가길 19",2016-02-04,"16"
"서울",111123,"종로구",0.006,0.3,0.029,0.026,47,24,"서울 종로구 종로35가길 19",2016-02-04,"17"
"서울",111123,"종로구",0.007,0.4,0.016,0.041,64,38,"서울 종로구 종로35가길 19",2016-02-04,"18"
"서울",111123,"종로구",0.006,0.4,0.016,0.038,58,32,"서울 종로구 종로35가길 19",2016-02-04,"19"
