"Post date","Post hour","Post minute","Page total likes","Type","Category","Paid"
20161229,3,24,139441,"Photo",2,0
20161221,10,7,139441,"Status",2,0
20161214,3,7,139441,"Photo",3,0
20161213,10,35,139441,"Photo",2,1
20161227,3,29,139441,"Photo",2,0
20161226,9,6,139441,"Status",2,0
20161205,3,3,139441,"Photo",3,1
20161204,9,0,139441,"Photo",3,1
20161204,3,37,139441,"Status",2,0
20161224,10,51,139441,"Photo",3,0
20161230,10,29,139441,"Status",2,0
20161202,10,34,139441,"Photo",2,0
20161209,10,48,139441,"Photo",2,0
20161216,3,3,139441,"Photo",2,0
20161201,5,22,138414,"Photo",2,1
20161221,10,16,138414,"Status",2,0
20161214,3,44,138414,"Photo",3,0
20161227,12,13,138414,"Photo",1,1
20161227,3,54,138414,"Status",3,0
20161212,11,28,138414,"Photo",3,0
20161219,3,49,138414,"Photo",2,0
20161218,10,23,138414,"Photo",1,0
20161218,10,43,138414,"Link",1,0
20161225,3,20,138414,"Photo",3,0
20161203,10,10,138414,"Status",2,0
20161203,3,4,138458,"Status",2,0
20161223,11,11,138458,"Status",2,0
20161216,3,41,138458,"Photo",3,0
20161202,3,20,138895,"Photo",2,0
20161229,11,30,138895,"Video",1,1
20161215,2,14,138895,"Photo",2,0
20161207,10,49,138895,"Photo",2,0
20161221,3,22,138895,"Photo",3,0
20161227,9,17,138895,"Photo",3,0
20161206,3,30,138895,"Photo",1,0
20161205,11,40,138895,"Photo",2,0
20161212,3,30,138895,"Photo",3,0
20161211,10,19,138895,"Photo",1,1
20161211,9,29,138895,"Status",2,0
20161218,3,37,138895,"Photo",1,0
20161210,11,48,138895,"Status",2,0
20161217,3,42,138895,"Link",1,1
20161223,10,15,138353,"Photo",1,0
20161216,3,36,138353,"Link",1,1
20161201,11,37,138353,"Photo",1,0
20161201,3,48,138353,"Link",1,1
20161207,11,6,138353,"Status",1,0
20161221,2,7,138353,"Link",1,0
20161206,11,8,138353,"Photo",1,0
20161213,2,21,138353,"Link",1,0
20161128,9,48,138353,"Photo",2,0
20161128,3,5,138329,"Photo",1,1
20161106,9,28,138329,"Photo",1,0
20161127,3,47,138329,"Photo",1,0
20161112,10,53,138329,"Photo",1,0
20161105,2,40,138329,"Video",1,1
20161125,11,41,138329,"Photo",1,0
20161111,3,22,138329,"Photo",1,0
20161103,10,59,138329,"Photo",1,0
20161110,3,55,138329,"Photo",1,1
20161130,11,43,138185,"Photo",1,1
20161109,2,25,138185,"Photo",1,1
20161122,10,16,138185,"Photo",1,1
20161122,3,21,138185,"Photo",1,1
20161128,10,9,138185,"Photo",1,0
20161128,3,41,138185,"Photo",1,0
20161106,11,36,138185,"Photo",1,0
20161113,3,32,138185,"Photo",1,1
20161119,11,50,138185,"Photo",1,0
20161112,3,24,137893,"Photo",1,0
20161111,10,30,137893,"Photo",1,1
20161111,3,14,137893,"Video",1,1
20161124,11,26,137893,"Status",3,0
20161117,2,48,137893,"Photo",1,1
20161130,11,50,137893,"Video",1,0
20161116,2,53,137893,"Photo",1,1
20161130,2,30,137893,"Photo",1,0
20161128,10,13,137177,"Photo",1,0
20161107,3,13,137177,"Photo",2,0
20161106,12,28,137177,"Photo",1,0
20161106,3,31,137177,"Status",2,0
20161112,10,51,137177,"Photo",3,0
20161105,3,34,137177,"Photo",1,0
20161111,10,15,137177,"Photo",3,1
20161104,2,27,137177,"Status",3,0
20161103,9,13,137177,"Photo",1,1
20161124,3,38,137177,"Link",1,0
20161123,10,40,137177,"Photo",3,0
20161102,3,26,137177,"Photo",1,0
20161101,11,52,137059,"Photo",1,1
20161129,3,8,137059,"Photo",1,0
20161121,9,33,137059,"Photo",2,0
20161107,3,38,137059,"Photo",3,0
20161120,9,48,137059,"Photo",3,0
20161113,4,16,137059,"Photo",2,0
20161029,10,27,137059,"Photo",3,0
20161015,3,48,137059,"Photo",1,0
20161007,11,17,137059,"Photo",2,0
20161028,3,11,137020,"Status",2,1
20161006,10,45,137020,"Photo",1,0
20161027,9,39,137020,"Photo",1,1
20161013,3,49,137020,"Photo",2,0
20161005,10,8,137020,"Photo",3,0
20161019,4,25,137020,"Photo",1,0
20161025,11,53,137020,"Photo",1,1
20161025,4,1,137020,"Photo",1,0
20161003,11,59,137020,"Photo",3,0
20161024,4,4,136736,"Status",2,0
20161002,9,35,136736,"Photo",3,0
20161030,3,36,136736,"Status",2,0
20161022,10,2,136736,"Photo",1,0
20161015,8,55,136736,"Photo",1,0
20161029,4,12,136736,"Photo",2,0
20161024,3,9,136642,"Photo",2,1
20161030,13,19,136642,"Photo",1,0
20161030,12,59,136642,"Photo",1,1
20161002,12,4,136642,"Photo",1,0
20161030,11,59,136642,"Photo",1,0
20161009,10,37,136642,"Photo",1,0
20161016,10,5,136393,"Photo",1,0
20161016,9,52,136393,"Photo",1,0
20161002,9,13,136393,"Status",2,0
20161002,8,34,136393,"Photo",1,0
20161016,7,20,136393,"Photo",1,0
20161030,6,56,136393,"Photo",1,0
20161016,5,35,136393,"Photo",1,0
20161016,3,34,136393,"Photo",3,0
20161001,13,28,136393,"Photo",1,0
20161022,13,35,136393,"Photo",1,0
20161008,12,9,136393,"Photo",1,0
20161008,11,30,136393,"Photo",1,0
20161029,9,34,136393,"Photo",1,0
20161022,9,25,136393,"Photo",1,0
20161015,8,47,136393,"Photo",1,0
20161001,6,16,136393,"Photo",1,0
20161001,2,6,136393,"Photo",1,0
20161021,10,41,136393,"Link",1,0
20161021,8,54,136013,"Photo",1,0
20161007,3,57,136013,"Status",2,0
20161027,10,21,136013,"Photo",1,1
20161027,3,6,136013,"Link",1,0
20161026,10,19,136013,"Status",3,0
20161012,2,49,136013,"Status",2,1
20161011,10,39,136013,"Photo",3,1
20161018,3,11,136013,"Photo",1,1
20161031,10,31,136013,"Photo",1,1
20161003,3,36,136013,"Photo",3,0
20161030,10,40,135713,"Photo",3,0
20161023,4,10,135713,"Status",2,0
20161029,11,40,135713,"Link",1,1
