"Post date","Post hour","Post minute","Comment","Like","Share"
20161229,3,24,4,79,17
20161221,10,7,5,130,29
20161214,3,7,0,66,14
20161213,10,35,58,1572,147
20161227,3,29,19,325,49
20161226,9,6,1,152,33
20161205,3,3,3,249,27
20161204,9,0,0,325,14
20161204,3,37,0,161,31
20161224,10,51,3,113,26
20161230,10,29,0,233,19
20161202,10,34,0,88,18
20161209,10,48,0,90,14
20161216,3,3,5,137,10
20161201,5,22,2,577,20
20161221,10,16,4,86,18
20161214,3,44,2,40,12
20161227,12,13,15,678,20
20161227,3,54,4,54,17
20161212,11,28,0,34,8
20161219,3,49,3,66,12
20161218,10,23,0,0,0
20161218,10,43,0,16,2
20161225,3,20,0,72,24
20161203,10,10,3,99,19
20161203,3,4,0,88,18
20161223,11,11,10,412,72
20161216,3,41,0,100,17
20161202,3,20,36,523,63
20161229,11,30,18,143,13
20161215,2,14,33,107,22
20161207,10,49,1,27,11
20161221,3,22,2,155,47
20161227,9,17,4,98,23
20161206,3,30,2,56,17
20161205,11,40,6,172,21
20161212,3,30,0,96,17
20161211,10,19,16,76,8
20161211,9,29,11,227,31
20161218,3,37,1,44,14
20161210,11,48,7,216,39
20161217,3,42,6,187,18
20161223,10,15,7,26,3
20161216,3,36,7,29,10
20161201,11,37,0,47,11
20161201,3,48,4,57,10
20161207,11,6,4,174,36
20161221,2,7,6,18,8
20161206,11,8,0,77,15
20161213,2,21,1,12,1
20161128,9,48,1,48,9
20161128,3,5,24,285,28
20161106,9,28,9,202,31
20161127,3,47,4,64,19
20161112,10,53,4,66,13
20161105,2,40,2,65,14
20161125,11,41,2,164,54
20161111,3,22,0,40,13
20161103,10,59,3,76,11
20161110,3,55,4,139,17
20161130,11,43,8,101,14
20161109,2,25,8,144,10
20161122,10,16,10,179,13
20161122,3,21,4,219,22
20161128,10,9,2,60,7
20161128,3,41,19,77,23
20161106,11,36,0,48,7
20161113,3,32,20,697,70
20161119,11,50,0,53,17
20161112,3,24,7,84,28
20161111,10,30,7,146,9
20161111,3,14,17,449,84
20161124,11,26,3,226,44
20161117,2,48,14,172,47
20161130,11,50,2,99,13
20161116,2,53,20,411,74
20161130,2,30,0,0,0
20161128,10,13,4,85,8
20161107,3,13,0,56,8
20161106,12,28,2,29,7
20161106,3,31,2,86,13
20161112,10,51,18,370,53
20161105,3,34,5,190,57
20161111,10,15,2,101,19
20161104,2,27,2,99,16
20161103,9,13,10,140,8
20161124,3,38,2,130,31
20161123,10,40,3,270,38
20161102,3,26,3,30,6
20161101,11,52,2,107,17
20161129,3,8,13,331,77
20161121,9,33,0,78,13
20161107,3,38,9,301,32
20161120,9,48,2,111,16
20161113,4,16,2,124,22
20161029,10,27,5,153,27
20161015,3,48,3,51,11
20161007,11,17,1,115,26
20161028,3,11,7,310,61
20161006,10,45,12,328,90
20161027,9,39,0,0,0
20161013,3,49,26,1505,95
20161005,10,8,2,63,14
20161019,4,25,0,13,4
20161025,11,53,4,59,9
20161025,4,1,42,955,139
20161003,11,59,9,181,32
20161024,4,4,17,193,28
20161002,9,35,7,125,16
20161030,3,36,4,217,50
20161022,10,2,2,28,4
20161015,8,55,0,NA,NA
20161029,4,12,4,117,18
20161024,3,9,2,79,16
20161030,13,19,0,15,2
20161030,12,59,0,4,2
20161002,12,4,1,431,26
20161030,11,59,0,7,0
20161009,10,37,0,7,2
20161016,10,5,0,6,2
20161016,9,52,0,2,NA
20161002,9,13,6,186,40
20161002,8,34,1,1,2
20161016,7,20,1,3,2
20161030,6,56,0,7,NA
20161016,5,35,0,7,2
20161016,3,34,3,198,41
20161001,13,28,0,9,1
20161022,13,35,0,4,1
20161008,12,9,0,3,0
20161008,11,30,0,8,2
20161029,9,34,0,7,3
20161022,9,25,1,7,2
20161015,8,47,0,11,1
20161001,6,16,2,28,4
20161001,2,6,0,56,12
20161021,10,41,0,32,16
20161021,8,54,4,32,3
20161007,3,57,0,129,25
20161027,10,21,4,77,19
20161027,3,6,15,143,44
20161026,10,19,2,227,36
20161012,2,49,60,859,90
20161011,10,39,10,377,60
20161018,3,11,3,41,9
20161031,10,31,6,76,14
20161003,3,36,0,189,15
20161030,10,40,0,80,14
20161023,4,10,3,148,28
20161029,11,40,0,24,11
20161015,4,45,24,302,41
20161028,11,48,2,166,32
20161014,4,6,47,358,49
20161006,10,34,7,161,25
20161020,1,27,13,319,55
20160907,7,22,0,54,16
20160906,11,35,16,117,30
20160927,2,5,1,115,21
20160912,10,20,30,187,35
20160912,3,10,1,84,13
20160925,9,4,6,363,40
20160904,3,42,6,244,32
20160910,10,34,22,290,98
20160924,4,33,4,243,41
20160930,10,13,0,18,NA
20160923,3,12,0,113,19
20160915,10,20,2,77,5
20160929,2,9,8,485,64
20160921,10,59,144,1622,208
20160907,2,25,6,99,16
20160920,9,34,3,188,26
20160913,2,49,2,30,6
20160912,10,4,38,163,27
20160919,4,30,6,179,40
20160925,3,31,5,204,34
20160910,10,46,2,165,22
20160917,3,17,29,1047,98
20160930,11,17,2,234,40
20160909,2,54,7,250,42
20160922,10,32,4,154,36
20160915,4,30,20,150,29
20160914,10,54,4,102,8
20160921,2,32,1,226,44
20160913,10,56,6,345,121
20160913,3,49,11,68,11
20160905,10,51,0,62,10
